"ID","CUSTRECORD_COUPA_ACC_DEPT_INCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","NAME","PARENT","SUBSIDIARY","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED","CUSTRECORD_FINANCIAL_STATEMENT_LINE_ITEM","CUSTRECORD_FINANCE_BUSINESS_PARTNER"
"57","T",,"Engineering: Risk Eng","T","T","2020-05-19 18:45:14.000 +0000","Engineering: Risk Eng",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"61","T",,"Engineering: New Markets","T","T","2020-05-19 18:45:49.000 +0000","Engineering: New Markets",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56",false,,"2022-06-30 21:53:19.812 +0000",,
"86","T",,"Eng: Service Tech","T","T","2023-02-02 15:28:00.000 +0000","Eng: Service Tech",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67",false,,"2023-02-28 16:48:23.158 +0000",,
"2","T",,"Finance DEPRECATED","T","T","2023-03-27 20:54:43.000 +0000","Finance DEPRECATED",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-28 16:48:15.791 +0000","12","7590468"
"3","T",,"Legal DEPRECATED","T","T","2023-03-27 20:55:13.000 +0000","Legal DEPRECATED",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-28 16:48:15.791 +0000","12","7590468"
"9","F",,"Engineering : Consumer : Engineering (Inactive)","T","T","2023-03-27 21:34:10.000 +0000","Engineering (Inactive)","114","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-28 16:48:15.791 +0000","42","4858848"
"15","T",,"Capital Projects DEPRECATED","T","T","2023-03-27 20:53:05.000 +0000","Capital Projects DEPRECATED",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-28 16:48:15.791 +0000","12","7590468"
"11","T",,"Shared - DEPRECATED","T","F","2023-03-30 17:40:14.000 +0000","Shared - DEPRECATED",,"1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.219 +0000","39",
"111","T",,"International : International: Butter - DEPRECATED","T","F","2023-03-30 17:40:13.000 +0000","International: Butter - DEPRECATED","109","62, 63, 64, 65, 67",false,,"2023-03-30 20:48:13.219 +0000","39",
"141","F","Technology__Operations_CCH","Technology Operations","F","F","2023-03-30 16:52:03.000 +0000","Technology Operations",,"1, 27, 28, 29",false,,"2023-03-30 20:48:13.219 +0000","12","2913745"
"142","T","Program_Management_cch","Technology Operations : Program Management","F","F","2023-03-30 16:52:03.000 +0000","Program Management","141","1, 27, 28, 29",false,,"2023-03-30 20:48:13.219 +0000","42","2913745"
"412","T","Revenue__Executive_Support","Revenue : Executive Support - Revenue","F","F","2023-03-30 16:50:45.000 +0000","Executive Support - Revenue","17","1, 27, 28, 29",false,,"2023-03-30 20:48:13.218 +0000","41","7553811"
"413","T","Financial_Services_Platform_cch","Product : Financial Services Platform","F","F","2023-03-30 16:50:22.000 +0000","Financial Services Platform","14","1, 27, 28, 29, 45, 46, 47, 51",false,,"2023-03-30 20:48:13.218 +0000","42","2913745"
